"DateTime","CaseID","TradingPeriod","Pnodename","vSPDDollarsPerMegawattHour","vSPDLoadMegawatts","vSPDGenerationMegawatts"
"26-FEB-2025 11:55","251012025022255930","TP24","EDG0331",87.05136,18.10000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","EDG1101",86.51828,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","EDG1102",86.51828,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","EDG2201",87.00678,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","EDN0331",80.98347,23.10709,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","EDN1101",80.71663,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","FHL0331",89.09380,45.09891,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","FHL1101",88.93578,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","FKN0331",77.72891,16.41424,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","FKN1101",77.68977,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","FKN1102",77.69595,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GFD0331",81.62949,35.44937,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GFD1101",81.41820,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GFD1102",81.30464,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GLN0331",92.64553,62.30000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GLN0332",92.39265,25.90140,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GLN0332 GLN0",92.39265,0.00000,47.10000
"26-FEB-2025 11:55","251012025022255930","TP24","GLN2201",92.51269,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GNY1101",78.52760,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOR0331",79.17207,14.45089,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOR0331 KWD0",79.17207,0.00000,25.64600
"26-FEB-2025 11:55","251012025022255930","TP24","GOR1101",79.21120,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOR1102",79.21120,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOR2201",79.15667,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOR2202",79.15642,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOT2201",79.16205,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GOT2202",79.16190,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GYM0661",82.25052,3.93017,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GYT0331",83.58230,10.05584,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GYT1101",83.13000,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","GYT1102",83.12955,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAM0111",91.16200,16.86130,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAM0331",90.85713,91.41671,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAM0551",90.61894,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAM1101",90.82853,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAM2201",90.55764,0.00000,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAY0111",81.33862,6.90704,0.00000
"26-FEB-2025 11:55","251012025022255930","TP24","HAY0331",81.34488,8.02436,0.00000
