"TradingPeriod","Pnodename","vSPDDollarsPerMegawattHour"
"TP24","SFD2201 SFD22",82.92473
"TP24","SFD2201 SPL0",82.92473
"TP24","STK0331",81.46836
"TP24","STK0331 SZR0",81.46836
"TP24","STK0661",81.52687
"TP24","STK0661 COB0",81.52687
"TP24","STK1101",81.55308
"TP24","STK2201",81.30184
"TP24","STU0111",78.95682
"TP24","STU1101",78.88381
"TP24","SVL0331",93.62907
"TP24","SVL2201",93.44909
"TP24","SVL2202",93.45197
"TP24","SWN0251",92.94192
"TP24","SWN2201",92.88227
"TP24","TAB2201 TAB0",86.56122
"TP24","TAK0331",92.74551
"TP24","TAK0331 SZR0",92.74551
"TP24","TAK2201",92.55016
"TP24","TAK2202",92.64138
"TP24","TGA0111",89.95341
"TP24","TGA0331",89.88042
"TP24","TGA0331 KMI0",89.88042
"TP24","TGA1101",89.66766
"TP24","THI2201",86.63239
"TP24","THI2201 THI1",86.63239
"TP24","THI2201 THI2",86.63239
"TP24","TIM0111",78.67607
"TP24","TIM1101",78.46392
"TP24","TIM2201",78.42912
"TP24","TIM2202",78.44253
"TP24","TKA0111",79.14748
"TP24","TKA0111 TKA1",79.14748
"TP24","TKA0331",79.20291
"TP24","TKA1101",79.10171
"TP24","TKB2201",77.22001
"TP24","TKB2201 TKB1",77.22001
"TP24","TKR0331",81.67304
"TP24","TKR1101",81.36699
"TP24","TKU0331",85.27467
"TP24","TKU2201",85.02031
"TP24","TKU2201 TKU0",85.02031
"TP24","TMH2201",78.04620
"TP24","TMI0331",90.01199
"TP24","TMI1101",89.76263
"TP24","TMK0331",78.94265
"TP24","TMK1101",78.69055
"TP24","TMK1102",78.68914
"TP24","TMN0551",85.89753
"TP24","TMN2201",85.82803
"TP24","TMU0111",93.71231
"TP24","TMU1101",93.49059
"TP24","TNG0111",83.71904
"TP24","TNG0551",83.68556
"TP24","TNG2201",83.62682
"TP24","TRK0111",88.63847
"TP24","TRK1101",88.41640
"TP24","TRK1102",88.41640
"TP24","TRK2201",87.93938
"TP24","TUI1101",88.71255
"TP24","TUI1101 KTW0",88.71255
"TP24","TUI1101 PRI0",88.71255
"TP24","TUI1101 TUI0",88.71255
"TP24","TWC2201",81.79737
"TP24","TWC2201 NZW0",81.79737
"TP24","TWC2201 TWF0",81.79737
"TP24","TWH0331",90.04635
"TP24","TWH0331 TUK0",90.04635
"TP24","TWH2201",89.84869
"TP24","TWI2201",80.27643
"TP24","TWT2201",81.81560
"TP24","TWZ0331",76.90105
"TP24","TWZ2201",76.86707
"TP24","TWZ2202",76.86707
"TP24","UHT0331",81.62419
"TP24","UHT1101",81.36883
"TP24","WAI0111",88.51517
"TP24","WAI0501",88.82356
"TP24","WAI1101",88.06726
"TP24","WDV0111",83.30325
"TP24","WDV1101",83.27600
"TP24","WDV1101 TAP0",83.27600
"TP24","WDV1102",83.27600
"TP24","WEL0331",95.90435
"TP24","WEL1101",95.64417
"TP24","WEL1102",95.63411
"TP24","WGN0331",84.41387
"TP24","WGN1101",84.04126
"TP24","WHI0111",88.19225
"TP24","WHI2201",88.05083
"TP24","WHI2201 WHI1",88.05083
"TP24","WHI2201 WHI2",88.05083
"TP24","WHI2201 WHI3",88.05083
"TP24","WHU0331",94.17787
"TP24","WHU1101",94.13727
"TP24","WIL0331",81.43482
"TP24","WIL0331 MCK0",81.43482
"TP24","WIL1101",81.51242
"TP24","WIL2201",81.41914
"TP24","WIR0331",93.57205
"TP24","WIR1101",93.21615
"TP24","WIR1102",93.21506
"TP24","WKM2201",87.44486
"TP24","WKM2201 MOK0",87.44486
"TP24","WKM2201 WKM0",87.44486
"TP24","WKM2202",87.45532
"TP24","WKO0331",95.00341
"TP24","WKO1101",94.80531
"TP24","WPA2201",87.14441
"TP24","WPA2201 WPA0",87.14441
"TP24","WPR0331",80.48052
"TP24","WPR0661",80.23495
"TP24","WPR2202",80.45785
"TP24","WPR2203",80.45947
"TP24","WPW0331",86.26578
"TP24","WPW1101",85.89493
"TP24","WPW1102",85.94324
"TP24","WRD0331",93.50033
"TP24","WRD2201",93.30467
"TP24","WRK0331",86.63718
"TP24","WRK0331 RKA0",86.63718
"TP24","WRK0331 TAA0",86.63718
"TP24","WRK2201",86.57996
"TP24","WRK2201 WRK0",86.57996
"TP24","WTK0111",76.26751
"TP24","WTK0111 WTK0",76.26751
"TP24","WTK0331",76.36129
"TP24","WTK1101",76.67176
"TP24","WTK1102",76.58318
"TP24","WTK2201",76.60380
"TP24","WTU0331",88.38330
"TP24","WTU2201",88.14789
"TP24","WTU2202",88.14796
"TP24","WVY0111",84.20112
"TP24","WVY1101",83.94122
"TP24","WVY1101 WPP0",83.94122
"TP24","WWD1102",81.51574
"TP24","WWD1102 WWD0",81.51574
"TP24","WWD1103",81.51587
"TP24","WWD1103 WWD0",81.51587
