"DateTime","Scenario","Node","Price"
"26-FEB-2025 11:55","decrease conforming load 4.0%","INV2201",0.032
"26-FEB-2025 11:55","decrease conforming load 4.0%","ISL2201",0.032
"26-FEB-2025 11:55","decrease conforming load 4.0%","KIK2201",0.032
"26-FEB-2025 11:55","decrease conforming load 4.0%","OTA2201",19.848
"26-FEB-2025 11:55","decrease conforming load 4.0%","RDF2201",18.853
"26-FEB-2025 11:55","decrease conforming load 4.0%","SFD2201",17.840
"26-FEB-2025 11:55","decrease conforming load 4.0%","WKM2201",18.705
"26-FEB-2025 11:55","decrease conforming load 5.0%","BEN2201",0.030
"26-FEB-2025 11:55","decrease conforming load 5.0%","HAY2201",17.558
"26-FEB-2025 11:55","decrease conforming load 5.0%","INV2201",0.032
"26-FEB-2025 11:55","decrease conforming load 5.0%","ISL2201",0.032
"26-FEB-2025 11:55","decrease conforming load 5.0%","KIK2201",0.032
"26-FEB-2025 11:55","decrease conforming load 5.0%","OTA2201",19.822
"26-FEB-2025 11:55","decrease conforming load 5.0%","RDF2201",18.837
"26-FEB-2025 11:55","decrease conforming load 5.0%","SFD2201",17.834
"26-FEB-2025 11:55","decrease conforming load 5.0%","WKM2201",18.683
